,eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
156,371.95,23.29,1079.5,0.0151849735,0.174743655,2.16756225,-0.013085462249999999,0.231063,0.8755269534885883,157.0,40192.0,2387.596172977472,2572288
157,386.775,24.04,1075.5,0.0152597305,0.182861325,2.1486282,-0.010884278,0.202091495,0.89416478946805,158.0,40448.0,2402.819218329969,2588672
158,379.975,23.695,1076.5,0.020015693,0.217305505,2.14218325,-0.0117359325,0.22830272499999998,0.8786146752536297,159.0,40704.0,2418.0297879419813,2605056
159,376.83000000000004,23.485,1077.0,0.022200113,0.219909665,2.1595522000000003,-0.00627653632,0.31297636,0.8343707844614983,160.0,40960.0,2433.233015089965,2621440
160,372.44,22.135,1077.5,0.013451806,0.16584269000000001,2.18314065,-0.0102563375,0.289019385,0.8602562434971333,161.0,41216.0,2448.4356262624788,2637824
161,373.275,21.845,1073.5,0.012838745,0.15336100000000003,2.18921385,-0.012631991999999998,0.2487709,0.8706095330417156,162.0,41472.0,2463.6916853934817,2654208
162,375.58,21.185000000000002,1079.0,0.01088986775,0.121877035,2.18205525,-0.0120359095,0.35422516000000004,0.815892368555069,163.0,41728.0,2478.870538692485,2670592
163,371.145,21.45,1078.5,0.011616055,0.135213217,2.1728952,-0.014902961,0.19934637,0.8944119401276112,164.0,41984.0,2494.0546693999786,2686976
164,374.03,22.16,1074.0,0.017144584999999997,0.191050205,2.17065165,-0.01703870625,0.19822969000000001,0.8961620815098286,165.0,42240.0,2509.3011606319924,2703360
165,380.625,22.885,1075.5,0.0131371735,0.160349525,2.16815915,-0.01344052425,0.258104765,0.8563710302114487,166.0,42496.0,2524.5337756899826,2719744
166,373.44,22.27,1073.5,0.01568698,0.17710367999999999,2.18625355,-0.013773952499999999,0.23683725,0.8704393804073334,167.0,42752.0,2539.791358093469,2736128
167,368.76,22.064999999999998,1073.5,0.016975845500000003,0.205190025,2.1613917,-0.0170214185,0.18680898,0.9100657254457474,168.0,43008.0,2555.0495476239885,2752512
168,373.04999999999995,21.875,1077.5,0.0174530575,0.20843506,2.1526630000000004,-0.0140486595,0.233887075,0.868460513651371,169.0,43264.0,2570.2501528299763,2768896
169,377.595,22.865000000000002,1082.5,0.0164658215,0.193573,2.1862926500000004,-0.013249321,0.21448741,0.8832464069128036,170.0,43520.0,2585.382525438996,2785280
170,385.78,23.5,1082.0,0.013056683,0.15335083,2.1893766,-0.0146002155,0.201439895,0.8977519981563091,171.0,43776.0,2600.5213182539737,2801664
171,384.32500000000005,22.965,1079.5,0.010595958749999999,0.12899781,2.17621795,-0.011080598,0.31292246,0.8497938960790634,172.0,44032.0,2615.687768508971,2818048
172,380.34000000000003,22.119999999999997,1078.0,0.010676942750000001,0.12907918000000002,2.1841291499999995,-0.011590571499999999,0.24812703,0.8923213630914688,173.0,44288.0,2630.879927276488,2834432
173,381.97,22.2,1078.5,0.011779313,0.1334431975,2.1696470000000003,-0.0133979,0.24720438499999997,0.8941416777670383,174.0,44544.0,2646.067269575986,2850816
174,380.77,21.950000000000003,1076.0,0.009484125,0.10747274000000001,2.1634688,-0.012986379499999999,0.264929395,0.8962296359241009,175.0,44800.0,2661.290183743491,2867200
175,385.21000000000004,22.825,1079.0,0.010792133499999999,0.129364015,2.1543769999999998,-0.014867374999999999,0.19762018,0.9110008031129837,176.0,45056.0,2676.468444532482,2883584
