eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,eplenmean,eprewmean
263.57,13.21,2253,0.011386515,0.15030925,2.1755495,-0.016578123,0.16225958,0.966045115,122,31232,901.7637651,1998848,263.57,13.21
291.55,15.6,2252,0.013236098,0.16837566,2.1977284,-0.015951307,0.16445391,0.965754654,123,31488,909.0382488,2015232,291.55,15.6
289.67,14.5,2228,0.014087127,0.17732747,2.1965969,-0.01765376,0.15791582,0.967288874,124,31744,916.3914539,2031616,289.67,14.5
287.8,14.43,2267,0.010114402,0.12709554,2.2068427,-0.013896597,0.20025547,0.958474513,125,32000,923.6166867,2048000,287.8,14.43
302.82,14.43,2241,0.01238793,0.15411377,2.2072299,-0.015220831,0.21800464,0.94543799,126,32256,930.928336,2064384,302.82,14.43
297.34,15.2,2264,0.017775381,0.18747966,2.1929355,-0.015169219,0.22300448,0.949826159,127,32512,938.163174,2080768,297.34,15.2
292.14,16.41,2249,0.012942909,0.15635173,2.1943686,-0.01635873,0.15561251,0.964794639,128,32768,945.4477136,2097152,292.14,16.41
304.59,15.71,2208,0.012747216,0.16564941,2.1792643,-0.014302339,0.24845,0.94429525,129,33024,952.8673607,2113536,304.59,15.71
301.12,14.96,2288,0.015443523,0.16933186,2.2118456,-0.016798547,0.26711002,0.94779354,130,33280,960.0271452,2129920,301.12,14.96
258.62,12.7,2226,0.012688104,0.14892578,2.2066097,-0.007260926,0.22731914,0.961352464,131,33536,967.3864261,2146304,258.62,12.7
283.78,13.65,2245,0.010561649,0.12972005,2.181506,-0.01619606,0.20516215,0.961021584,132,33792,974.6838608,2162688,283.78,13.65
289.2,15.34,2259,0.011483078,0.1436971,2.1637847,-0.01859055,0.22077863,0.956045743,133,34048,981.9369238,2179072,289.2,15.34
286.55,14.91,2274,0.014143999,0.17533366,2.1633422,-0.015199874,0.2608576,0.946218234,134,34304,989.1394087,2195456,286.55,14.91
288,15.17,2220,0.010101528,0.13104248,2.1845484,-0.016943704,0.16709757,0.964917012,135,34560,996.5173703,2211840,288,15.17
311.38,15.61,2243,0.012884066,0.1616211,2.1677098,-0.01642683,0.16050196,0.965324163,136,34816,1003.821741,2228224,311.38,15.61
334.31,17.67,2267,0.015446753,0.17525227,2.1571815,-0.017011402,0.18903397,0.953193609,137,35072,1011.04946,2244608,334.31,17.67
315.3,16.62,2268,0.019653058,0.20719402,2.1721256,-0.016955607,0.34146342,0.929411449,138,35328,1018.271729,2260992,315.3,16.62
